Country,ISO2,ISO3,Indicator,Source,CTS Code,CTS Name,CTS Full Descriptor,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Vietnam,VN,VNM,Explicit Fossil Fuel Subsidies - Coal,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTEC,Explicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit, Coal",Percent of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam,VN,VNM,Explicit Fossil Fuel Subsidies - Coal,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTEC,Explicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit, Coal",USD at constant 2021 prices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam,VN,VNM,Explicit Fossil Fuel Subsidies - Electricity,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTET,Explicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit, Electricity",Percent of GDP,0.566900095744866,0.678168810899724,2.38596367544337,2.22536846552085,1.67565609788295,1.68632429393808,1.71491825961941,1.62990147008773,1.60398730953173,1.56759559114412,1.52382525787296,1.50137981606159,1.51509555053556,1.4924804496692,1.45774968326261,1.42413580864303
Vietnam,VN,VNM,Explicit Fossil Fuel Subsidies - Electricity,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTET,Explicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit, Electricity",USD at constant 2021 prices,1517793430.0,1914226782.0,7262596871.0,7237007422.0,5838940969.0,6049098191.0,6310110333.0,6417215470.0,6704394276.0,6982055087.0,7241735726.0,7615523910.0,8202590952.0,8624253504.0,8990773214.0,9374915132.0
Vietnam,VN,VNM,Explicit Fossil Fuel Subsidies - Natural Gas,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTEN,Explicit; Natural Gas,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit, Natural Gas",Percent of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam,VN,VNM,Explicit Fossil Fuel Subsidies - Natural Gas,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTEN,Explicit; Natural Gas,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit, Natural Gas",USD at constant 2021 prices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam,VN,VNM,Explicit Fossil Fuel Subsidies - Petroleum,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTEP,Explicit; Petroleum,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit, Petroleum",Percent of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244663745091665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam,VN,VNM,Explicit Fossil Fuel Subsidies - Petroleum,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTEP,Explicit; Petroleum,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit, Petroleum",USD at constant 2021 prices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96328520.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam,VN,VNM,Explicit Fossil Fuel Subsidies - Total,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTE,Explicit,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit",Percent of GDP,0.623590106439861,0.745985692981676,2.47806831731231,2.29226220916376,1.67565609788295,1.68632429393808,1.71491825961941,1.65436784449784,1.60398730953173,1.56759559114412,1.52382525787296,1.50137981606159,1.51509555053556,1.4924804496692,1.45774968326261,1.42413580864303
Vietnam,VN,VNM,Explicit Fossil Fuel Subsidies - Total,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTE,Explicit,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Explicit",USD at constant 2021 prices,1669572776.0,2105649463.0,7542952725.0,7454549158.0,5838940969.0,6049098191.0,6310110333.0,6513543990.0,6704394276.0,6982055087.0,7241735726.0,7615523910.0,8202590952.0,8624253504.0,8990773214.0,9374915132.0
Vietnam,VN,VNM,Fossil Fuel Subsidies - Total Implicit and Explicit,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFT,Total Implicit and Explicit,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit",Percent of GDP,9.14047184491429,10.6834527136008,12.7403810865873,13.9787575861348,14.6216098829985,14.6911549698228,14.63954282057,14.2613541468767,14.6137728232966,14.8100746903338,15.306404396571,15.6344071623606,15.9942849511721,16.3009782260702,16.5709820399282,16.843109915417
Vietnam,VN,VNM,Fossil Fuel Subsidies - Total Implicit and Explicit,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFT,Total Implicit and Explicit,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit",USD at constant 2021 prices,24472298060.0,30155546790.0,38780243290.0,45459605440.0,50950023150.0,52699376550.0,53866783390.0,56149518320.0,61083086060.0,65963924570.0,72741237870.0,79303185170.0,86591619240.0,94194713650.0,102202691700.0,110876171400.0
Vietnam,VN,VNM,Fossil Fuel Subsidies - Total Implicit and Explicit -  Natural Gas,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTN,Total Implicit and Explicit; Natural Gas,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Natural Gas",Percent of GDP,0.384993012552573,0.436268239036437,0.388505797538434,0.38067221924424,0.382864739121326,0.360831394561142,0.36439755567272,0.360799969013355,0.397341274405897,0.427995362135972,0.463638008854585,0.50055933344505,0.543750813921916,0.575594550806701,0.597209664422131,0.616237408398756
Vietnam,VN,VNM,Fossil Fuel Subsidies - Total Implicit and Explicit -  Natural Gas,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTN,Total Implicit and Explicit; Natural Gas,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Natural Gas",USD at constant 2021 prices,1030763391.0,1231428420.0,1182566616.0,1237964732.0,1334118984.0,1294356337.0,1340815382.0,1420534422.0,1660818979.0,1906287063.0,2203365455.0,2539012135.0,2943817969.0,3326055844.0,3683332410.0,4056616911.0
Vietnam,VN,VNM,Fossil Fuel Subsidies - Total Implicit and Explicit - Coal,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTC,Total Implicit and Explicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Coal",Percent of GDP,2.79642257830536,3.10785479842245,3.05850649523254,4.09685968827104,5.07760926886244,5.09454772730441,4.927263084516,4.70758857608745,4.97922220999419,5.03758216340854,5.35434441559316,5.48067605350577,5.55192892936898,5.61843967520814,5.69109619185514,5.76926367942299
Vietnam,VN,VNM,Fossil Fuel Subsidies - Total Implicit and Explicit - Coal,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTC,Total Implicit and Explicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Coal",USD at constant 2021 prices,7487019051.0,8772356962.0,9309739260.0,13323188690.0,17693284930.0,18274906880.0,18130061610.0,18534623590.0,20812302370.0,22437340580.0,25445665140.0,27799907180.0,30057643550.0,32465985110.0,35100234140.0,37978370490.0
Vietnam,VN,VNM,Fossil Fuel Subsidies - Total Implicit and Explicit - Electricity,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTT,Total Implicit and Explicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Electricity",Percent of GDP,0.566900095744866,0.678168810899724,2.38596367544337,2.22536846552085,1.67565609788295,1.68632429393808,1.71491825961941,1.62990147008773,1.60398730953173,1.56759559114412,1.52382525787296,1.50137981606159,1.51509555053556,1.4924804496692,1.45774968326261,1.42413580864303
Vietnam,VN,VNM,Fossil Fuel Subsidies - Total Implicit and Explicit - Electricity,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTT,Total Implicit and Explicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Electricity",USD at constant 2021 prices,1517793430.0,1914226782.0,7262596871.0,7237007422.0,5838940969.0,6049098191.0,6310110333.0,6417215470.0,6704394276.0,6982055087.0,7241735726.0,7615523910.0,8202590952.0,8624253504.0,8990773214.0,9374915132.0
Vietnam,VN,VNM,Fossil Fuel Subsidies - Total Implicit and Explicit - Petroleum,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTP,Total Implicit and Explicit; Petroleum,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Petroleum",Percent of GDP,5.33705714554106,6.39529939509177,6.81693652139034,7.21041322310827,7.48547977799269,7.54945155346166,7.63296391940297,7.56306413219614,7.63322202816861,7.7769015736452,7.96459671446067,8.15179196033397,8.38350965753033,8.61446355004006,8.82492649292995,9.03347301485064
Vietnam,VN,VNM,Fossil Fuel Subsidies - Total Implicit and Explicit - Petroleum,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTP,Total Implicit and Explicit; Petroleum,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Petroleum",USD at constant 2021 prices,14289202510.0,18051631370.0,20749964620.0,23448617530.0,26083678270.0,27081015140.0,28085796060.0,29777144840.0,31905570430.0,34638241840.0,37850471550.0,41348741950.0,45387566770.0,49778419190.0,54428351890.0,59466268840.0
Vietnam,VN,VNM,Implicit Fossil Fuel Subsidies - Accidents,"Parry, Ian; Black, Simon; Vernon, Nate. September 2021. Still Not Getting Energy Prices Right: A Global and Country Update of Fossil Fuel Subsidies. International Monetary Fund. ISBN: 9781513595405/1018-5941; IMF staff estimations.",ECGFTIA,Implicit; Accidents,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Accidents",Percent of GDP,2.028790760023,2.38155461201313,2.58279572465586,2.76110994417846,2.89860373589855,2.94326878719875,3.09761897139316,3.12050096769769,3.12512870140652,3.18971995222261,3.26752486774936,3.34702473409761,3.45245615460915,3.56040724793933,3.66891620038362,3.7800171110517
