Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,Climate Influence,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Vietnam,VN,VNM,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,124.713929797092,123.802751235816,121.698868028577,124.008478707219,123.370076339948,123.33478584124799,122.580626778915,122.747542145907,121.724065327841,120.751081720205,120.52340787853699,119.390242101065,114.472887339547,109.69081276434399,109.390430465438,109.001396966856,106.66922701960101,106.500128340536,103.941927217691,104.018245407005,103.28620625885999,103.128308148323,102.794877999944,100.0,99.2366947813114,98.9486250410457,98.5701712812479,93.678759410528,93.7117123443911,93.6560817059773,93.479593494734
Vietnam,VN,VNM,Artificial surfaces (including urban and associated areas),1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCS,Artificial Surfaces (Including Urban and Associated Areas),"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Artificial Surfaces (Including Urban and Associated Areas)",Climate altering,73.33,75.35,77.47,79.66,81.39,83.29,85.61,87.88,90.27,94.89,101.14,105.78,110.12,117.92,126.0,134.77,143.1,152.18,162.45,171.75,186.73,212.05,243.32,256.11,256.9,267.73,274.85,275.6,278.92,296.49,327.48
Vietnam,VN,VNM,Grassland,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCG,Grassland,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Grassland",Climate regulating,1851.38,1851.38,1851.4,1893.05,1902.17,1923.1,1941.59,1971.65,2000.36,2022.6,2037.86,2044.47,2053.71,2063.27,2067.85,2073.14,2080.51,2088.03,2093.99,2103.71,2107.66,2111.25,2116.0,2116.69,2108.51,2105.78,2111.6,2116.36,2119.3,2119.71,2112.81
Vietnam,VN,VNM,Herbaceous crops,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCH,Herbaceous Crops,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Herbaceous Crops",Climate altering,10058.28,9982.24,9809.2,9994.64,9941.05,9936.28,9872.69,9883.98,9798.45,9714.78,9690.04,9593.34,9189.52,8793.23,8760.75,8720.37,8522.58,8499.76,8281.67,8278.57,8204.12,8165.97,8107.61,7867.77,7804.97,7770.74,7732.87,7334.75,7334.01,7312.02,7266.69
Vietnam,VN,VNM,Inland water bodies,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCW,Inland Water Bodies,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Inland Water Bodies",Climate regulating,771.01,770.97,770.94,760.76,762.11,764.01,765.04,764.52,766.26,764.11,764.91,765.26,764.98,763.43,762.65,758.74,757.84,757.1,755.83,754.13,753.65,753.87,757.8,757.6,763.55,763.91,763.97,764.14,765.05,763.82,763.67
Vietnam,VN,VNM,Mangroves,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCM,Mangroves,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Mangroves",Climate regulating,180.87,180.85,180.85,170.09,171.62,172.81,174.47,178.29,179.61,181.97,182.17,182.74,183.55,183.3,184.95,186.91,187.68,187.94,189.87,193.42,193.92,194.0,194.27,194.22,197.96,200.8,203.17,205.14,205.28,206.32,208.77
Vietnam,VN,VNM,Permanent snow and glaciers,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCL,Permanent Snow and Glaciers,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Permanent Snow and Glaciers",Climate regulating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vietnam,VN,VNM,Shrub-covered areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCC,Shrub-Covered Areas,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Shrub-Covered Areas",Climate regulating,5691.63,5691.61,5691.6,5738.27,5695.39,5680.96,5687.92,5738.05,5806.94,5937.78,5997.34,5972.75,5919.0,5911.33,5885.45,5851.93,5848.05,5857.22,5861.61,5893.11,5895.84,5895.07,5900.89,5900.75,5877.67,5890.09,5917.25,5915.48,5910.09,5893.54,5855.16
Vietnam,VN,VNM,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCV,Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Shrubs and/or Herbaceous Vegetation and Aquatic Or Regularly Flooded",Climate regulating,58.34,58.34,58.32,58.48,58.58,58.61,58.79,58.66,58.74,58.94,59.0,59.04,59.47,59.49,59.43,59.65,60.17,61.4,62.31,62.97,64.65,65.27,67.05,67.03,66.04,66.34,66.89,66.95,67.05,66.96,66.84
Vietnam,VN,VNM,Sparsely natural vegetated areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCN,Sparsely Natural Vegetated Areas,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Sparsely Natural Vegetated Areas",Climate neutral,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.09,6.08,6.08,6.08,6.08,6.05,6.05,6.05,6.05,6.17,6.18,6.16,6.16,6.15,6.15,6.15,6.13,6.12,6.12,6.1,6.12,6.11
Vietnam,VN,VNM,Terrestrial barren land,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCT,Terrestrial Barren Land,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Terrestrial Barren Land",Climate neutral,18.71,18.71,18.71,18.54,18.54,18.49,18.49,18.39,18.39,18.39,18.39,18.39,18.44,18.44,18.45,18.45,18.46,18.49,18.49,18.51,18.51,18.51,18.5,18.49,18.62,18.66,18.6,18.59,18.62,18.59,18.57
Vietnam,VN,VNM,Tree-covered areas,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCE,Tree-Covered Areas,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Tree-Covered Areas",Climate regulating,12058.98,12059.35,12059.75,11731.17,11712.05,11611.5,11506.98,11319.38,11156.41,10942.06,10838.31,10823.29,10826.86,10803.97,10811.07,10834.66,10821.14,10796.44,10776.75,10718.04,10706.98,10706.1,10697.89,10700.32,10789.13,10807.51,10792.01,10876.36,10911.07,10948.32,11038.72
Vietnam,VN,VNM,Woody crops,1000 HA,"Food and Agriculture Organization of the United Nations (FAO). 2020. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: http://www.fao.org/faostat/en/#data/LC. Date of Access: 11-01-2022; IMF staff calculations.",ECCCR,Woody Crops,"Environment, Climate Change, Climate and Weather, Land Cover Accounts, Woody Crops",Climate regulating,2175.7,2249.44,2419.99,2493.57,2595.34,2689.18,2826.64,2917.42,3062.81,3202.71,3249.1,3373.19,3812.6,4223.87,4261.69,4299.65,4498.75,4519.71,4735.2,4743.95,4806.12,4816.08,4834.84,5059.2,5054.83,5046.65,5056.99,5364.84,5328.42,5312.45,5279.51
